column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
123,583,84,967,565,680,984,376,445,24
909,624,556,225,850,512,300,725,611,284
531,672,794,615,982,554,444,335,909,145
369,431,260,280,471,189,517,485,589,83
559,200,555,677,151,719,354,203,667,57
719,350,768,378,630,733,974,178,1,78
897,0,775,992,710,803,402,708,886,894
434,580,918,124,807,83,592,789,174,427
966,944,491,552,354,791,277,835,118,788
955,430,425,996,617,238,972,910,714,404
218,538,207,459,363,679,84,599,340,122
804,825,295,431,969,436,353,132,902,341
387,705,494,247,289,791,119,692,346,574
461,401,710,47,380,974,917,11,806,757
321,331,113,568,757,781,941,991,922,429
14,118,943,828,66,552,794,912,266,961
515,384,786,429,431,485,216,257,461,456
576,262,714,556,264,168,504,422,116,551
535,872,354,604,78,412,116,967,244,425
205,434,986,267,896,426,733,684,20,874
560,673,914,199,166,666,146,477,824,578
716,232,610,111,866,297,479,574,983,787
903,198,395,651,874,8,990,457,537,171
651,337,154,745,696,61,851,936,650,742
262,903,52,689,342,229,199,154,879,750
995,976,216,423,94,77,17,574,146,955
279,453,365,543,912,306,942,83,941,185
574,757,3,800,303,254,832,174,772,268
55,930,774,604,38,845,165,743,371,891
607,776,892,530,297,380,498,712,961,285
529,666,98,425,210,394,914,203,751,653
660,627,46,123,6,247,180,827,219,434
18,672,469,359,207,702,262,798,651,52
251,337,6,802,968,756,779,838,428,485
238,275,448,930,93,760,520,72,154,813
918,43,280,964,97,244,16,648,448,722
524,620,864,943,774,631,710,783,145,951
740,871,440,880,893,452,375,886,90,170
873,848,214,305,660,102,223,172,764,696
36,465,535,76,972,433,658,69,644,839
262,665,886,461,238,704,221,334,987,722
345,768,848,677,769,920,557,240,61,819
79,514,62,468,89,934,705,428,570,781
614,828,340,795,384,921,31,609,389,442
416,487,764,140,552,791,667,93,28,75
471,887,76,614,683,6,127,335,95,436
276,373,2,456,948,384,606,955,405,347
89,211,379,384,552,711,563,90,718,152
792,116,880,727,252,297,837,422,359,791
141,515,976,193,926,44,152,369,358,156
37,61,690,430,817,381,66,568,39,64
782,893,599,21,119,280,475,279,786,769
606,167,937,162,889,180,846,29,954,706
857,498,302,110,496,254,177,956,65,380
151,815,147,572,783,384,840,819,555,73
300,172,653,940,539,46,968,363,926,864
829,195,586,954,559,542,877,714,631,930
113,188,794,688,946,455,957,343,838,264
417,181,471,221,394,401,58,279,606,727
500,735,386,494,885,363,176,539,530,156
726,303,907,892,307,375,137,915,795,465
478,814,147,763,572,219,30,102,698,456
316,392,145,93,48,830,445,548,701,870
47,778,631,639,438,791,387,167,322,864
466,68,182,875,949,10,599,2,635,892
260,726,400,816,446,241,459,497,404,863
269,5,918,16,605,903,313,75,170,415
760,390,181,579,36,699,982,267,891,8
379,741,204,601,443,210,315,790,370,514
286,128,186,606,417,733,770,900,295,627
802,870,764,849,878,275,322,690,864,962
377,620,480,774,147,59,986,793,867,654
515,16,646,389,872,589,913,979,443,894
817,778,336,894,684,748,567,759,293,118
125,308,398,31,336,346,614,428,610,819
298,452,535,598,360,662,991,919,773,631
925,730,908,329,870,24,156,281,626,790
273,277,981,305,90,228,180,904,863,365
935,818,762,893,775,311,20,579,884,565
17,308,268,350,897,382,772,700,918,664
964,108,639,801,531,863,877,905,299,868
820,314,899,607,136,430,533,408,149,854
601,193,818,802,154,757,937,679,398,13
539,244,198,444,692,746,404,157,265,764
413,446,83,543,663,185,792,879,290,364
32,0,617,659,252,451,176,932,559,578
583,279,64,957,138,367,344,210,912,676
693,137,984,99,67,263,334,597,194,605
415,329,669,964,351,320,765,990,176,786
70,271,567,334,264,349,800,255,630,717
158,318,264,90,131,321,307,762,319,602
384,698,173,937,272,462,176,720,291,948
856,917,517,571,313,30,852,439,463,430
462,301,911,104,584,640,328,489,560,599
220,88,635,962,456,589,175,785,505,631
97,251,196,471,634,440,864,845,43,699
734,138,299,877,265,403,223,21,910,990
219,801,657,361,843,619,989,511,616,895
40,481,434,725,492,165,968,92,876,7
958,631,919,551,609,623,417,956,915,147
575,271,115,496,126,25,681,535,169,235
741,794,778,29,457,561,242,53,582,290
767,108,258,719,953,906,576,695,115,9
948,892,743,234,587,436,511,27,773,88
112,547,115,194,580,352,171,410,379,661
549,556,117,11,395,804,981,743,514,481
48,150,796,553,307,539,787,658,244,540
560,845,710,349,60,735,212,841,144,115
69,38,532,845,176,542,662,977,902,947
884,973,697,99,136,20,112,294,501,255
7,809,874,963,841,761,327,585,558,276
130,432,754,626,632,519,664,695,993,794
652,235,974,248,334,394,602,144,427,194
374,9,458,991,745,378,522,903,35,427
755,282,222,54,868,706,530,706,24,152
352,779,773,273,938,708,830,606,526,778
244,196,217,500,483,224,24,400,19,130
538,616,998,573,259,821,202,352,697,313
553,995,869,232,744,892,94,289,91,893
666,236,205,938,613,48,403,167,896,62
222,862,132,902,30,525,118,727,481,309
895,813,566,733,642,469,23,208,152,700
357,935,846,18,428,924,717,637,977,125
586,349,819,829,895,281,659,203,567,129
997,562,239,768,37,219,397,582,586,277
767,769,34,752,633,148,495,860,953,743
549,898,934,712,759,378,265,828,602,879
30,409,27,690,780,771,819,561,632,473
75,514,125,295,428,831,759,755,591,419
243,561,271,780,804,704,104,598,84,886
788,547,904,310,539,992,993,215,848,879
225,238,854,345,62,656,786,794,406,371
61,977,7,946,294,231,981,564,592,973
616,566,386,991,655,81,921,397,383,533
901,275,391,90,585,952,808,326,767,604
980,311,650,541,558,79,359,519,333,955
145,765,107,758,470,951,171,52,397,371
995,751,856,168,412,438,14,750,183,749
424,184,341,86,343,721,190,895,390,496
481,332,894,954,72,193,933,680,963,753
752,552,0,76,915,95,414,869,189,140
372,451,740,479,81,834,388,419,285,702
891,83,275,195,312,384,334,629,279,194
184,423,288,585,224,958,941,331,87,898
864,37,487,134,962,922,155,60,38,504
450,815,174,649,512,560,974,887,213,556
169,473,608,190,68,485,488,486,23,110
605,362,739,64,885,644,764,891,896,231
793,841,786,404,555,294,732,412,451,283
249,654,886,812,652,701,850,267,873,276
758,834,756,121,319,217,557,977,538,29
949,851,754,839,657,376,726,122,452,831
407,603,444,951,253,315,841,327,291,933
945,425,883,170,296,35,896,141,873,375
742,271,761,643,135,964,223,84,477,17
534,434,159,452,500,960,608,756,56,121
252,243,330,44,561,742,369,931,849,494
905,835,61,392,15,152,474,442,722,241
197,891,347,250,185,719,493,460,951,535
133,982,554,221,849,766,7,312,441,39
844,52,960,833,944,164,817,329,191,214
286,137,722,686,913,822,803,609,745,517
909,851,543,334,242,1,916,355,883,184
206,32,8,878,462,750,216,938,444,36
19,830,121,879,249,79,682,735,319,24
828,647,419,589,683,755,743,620,206,711
637,72,161,535,388,863,510,865,214,110
690,441,345,18,225,773,107,999,71,617
429,559,543,73,555,733,624,368,851,173
111,299,929,225,644,72,239,593,300,346
472,464,404,445,336,340,900,517,882,54
61,696,621,611,215,885,241,865,521,798
863,720,481,339,263,35,743,663,61,238
733,583,609,585,517,750,11,82,397,45
912,702,668,266,840,70,853,341,440,319
977,256,474,397,419,759,775,618,990,773
687,567,541,735,64,361,913,189,801,572
471,436,314,546,101,689,482,174,724,472
814,381,969,602,369,966,183,550,165,42
345,788,934,713,75,46,977,724,988,718
872,82,359,575,841,754,783,544,641,991
389,958,235,172,482,487,440,599,927,905
4,760,786,697,596,714,687,228,648,791
93,935,612,590,201,746,26,317,503,131
361,395,636,677,627,676,601,567,78,19
147,906,958,3,831,648,877,219,484,580
578,980,298,851,503,842,527,783,605,439
239,591,744,880,854,877,367,168,841,700
911,607,351,687,170,432,975,995,540,820
135,115,289,591,755,343,153,147,937,78
809,657,714,58,858,483,323,816,96,107
966,706,647,762,536,103,706,819,746,934
774,645,357,761,127,597,122,45,208,117
172,575,308,791,539,575,453,379,627,3
525,987,768,297,151,930,825,829,428,980
525,766,120,645,128,619,34,350,359,531
490,68,365,127,293,72,536,92,885,551
887,232,6,706,170,448,922,570,605,706
787,250,926,990,632,319,693,115,756,950
850,948,888,816,970,22,908,937,198,470
862,902,588,993,561,36,983,217,583,646
881,147,975,55,136,841,254,296,713,587
761,252,58,209,193,420,78,111,175,27
611,316,113,884,753,656,18,257,752,703
199,256,769,502,427,71,86,123,252,255
581,618,48,452,801,629,522,297,148,297
367,970,887,598,974,693,52,531,740,769
492,14,77,861,580,661,422,679,919,160
806,747,372,864,735,724,571,298,922,832
306,737,328,930,330,482,612,69,344,255
144,782,937,581,410,431,571,857,829,533
819,512,158,767,1,48,914,261,755,712
693,320,765,998,72,327,502,375,485,799
693,537,105,252,954,390,967,258,79,836
974,669,99,356,641,333,157,359,987,308
230,120,949,65,395,418,97,871,907,299
922,421,782,947,801,346,563,757,106,213
398,135,109,473,281,610,740,511,820,991
689,462,537,967,881,361,479,562,925,484
886,72,63,600,402,915,402,721,308,428
496,202,296,145,268,287,886,428,524,530
96,81,267,404,363,495,699,800,186,529
207,418,246,582,269,747,545,761,841,258
942,982,161,386,443,709,22,212,639,438
362,260,484,131,938,190,982,99,245,406
837,673,380,912,319,433,348,981,177,334
326,958,376,646,832,164,928,403,738,646
700,667,810,881,927,873,183,711,205,373
821,562,817,854,388,765,782,822,988,168
744,402,201,569,773,777,974,473,468,581
693,158,548,77,833,135,648,711,136,971
77,797,100,220,48,462,315,213,173,333
978,481,565,529,83,691,865,83,588,631
7,198,932,842,451,50,953,776,330,622
804,976,970,602,893,315,239,565,314,783
435,392,721,983,975,549,994,371,853,9
965,568,494,879,556,913,643,580,624,34
586,666,67,359,512,614,691,563,810,83
419,581,538,267,150,188,146,52,87,705
88,520,683,754,94,740,101,415,731,835
392,301,214,460,782,97,277,532,563,599
396,42,9,448,109,441,271,637,805,100
612,421,198,148,890,820,265,100,948,375
550,479,269,412,478,346,321,856,563,768
655,613,594,813,335,921,10,914,584,399
406,770,807,712,837,979,617,906,776,924
973,621,98,105,319,253,69,484,76,495
44,764,344,500,773,455,208,3,14,398
63,554,361,257,830,58,778,330,615,576
476,698,675,208,808,283,805,503,639,860
882,843,904,656,214,767,191,113,281,240
589,796,508,739,983,320,651,500,175,420
704,972,316,459,271,188,99,383,308,751
223,593,423,468,983,940,705,967,628,329
315,801,495,183,313,771,555,504,256,219
742,369,143,336,927,702,192,445,744,482
105,746,940,230,975,96,742,593,947,310
885,914,777,13,189,569,951,854,730,537
311,270,692,214,744,11,923,218,185,543
316,118,13,497,397,454,856,341,420,290
37,651,607,994,217,169,479,673,934,703
263,575,854,880,54,31,666,966,192,971
635,885,999,71,263,206,917,827,12,759
785,231,244,33,7,15,144,274,234,91
599,902,580,454,374,418,530,704,236,939
10,144,319,518,430,716,308,100,492,902
433,533,122,883,871,631,365,542,42,935
602,630,768,566,233,105,885,457,347,932
0,446,284,73,512,918,163,61,354,938
310,439,272,902,934,109,440,440,200,946
812,756,123,654,188,266,216,658,874,988
482,525,143,621,134,361,77,198,79,938
631,483,706,178,517,67,306,96,290,327
209,438,885,276,35,353,27,786,948,224
168,67,231,817,122,658,321,925,324,896
56,512,166,462,980,702,705,160,382,486
65,373,90,156,693,891,35,558,718,638
275,942,651,635,233,473,772,593,461,366
179,249,393,59,660,410,724,609,373,905
53,949,632,13,109,376,370,914,309,408
131,938,979,27,720,608,202,395,297,541
933,666,488,158,523,339,362,420,194,79
539,407,335,554,528,527,78,705,895,875
146,824,749,212,335,922,839,671,772,645
951,477,351,36,633,25,43,992,676,367
332,784,943,972,685,619,877,164,935,708
449,205,2,369,538,21,668,466,840,33
491,556,861,198,503,950,921,487,127,798
28,265,248,584,279,516,645,197,430,347
901,127,841,513,382,747,462,574,775,414
368,442,991,682,320,672,518,58,550,628
99,877,525,411,10,854,370,336,454,721
480,98,185,619,310,52,167,215,974,791
494,366,594,581,283,359,930,292,355,99
224,281,640,272,687,173,365,597,708,419
414,480,824,744,726,698,975,725,973,84
171,545,810,202,761,81,663,391,282,656
895,106,283,180,251,115,693,413,395,603
229,268,58,228,679,775,90,880,900,122
139,129,1,717,713,541,777,961,352,899
568,699,733,244,174,35,149,104,147,475
496,360,336,892,988,105,95,127,785,934
438,37,504,582,535,624,64,482,425,77
22,299,132,145,889,493,720,571,391,643
778,995,676,556,788,675,436,32,327,926
224,83,27,101,771,572,360,664,387,946
652,558,634,940,468,504,334,917,874,704
150,227,878,603,698,64,207,75,266,773
920,191,574,642,703,830,560,263,206,16
84,611,10,885,721,192,339,311,260,396
652,728,48,903,121,210,869,472,123,684
260,889,980,882,93,874,146,755,132,14
779,376,969,371,26,274,596,891,892,428
490,864,777,958,547,53,904,653,89,146
170,599,5,395,722,132,755,824,896,700
895,627,855,568,451,45,929,20,668,411
827,524,95,866,10,910,193,613,982,680
334,780,686,753,369,234,953,469,342,136
814,792,350,256,479,842,733,303,381,647
962,803,826,167,228,687,422,645,416,170
998,120,477,6,351,933,869,254,546,849
331,118,610,812,883,387,538,846,397,623
165,980,582,857,23,974,45,249,840,989
558,916,241,285,882,827,521,814,814,322
273,220,902,166,453,240,382,421,980,64
424,228,866,937,586,333,245,468,48,550
220,761,14,418,852,948,249,658,175,361
799,565,807,684,951,938,190,479,571,119
700,149,839,616,802,211,552,620,507,29
438,438,301,667,238,403,430,464,739,646
699,375,668,102,704,716,101,306,896,101
549,484,381,596,303,200,432,40,191,28
360,141,663,86,614,999,958,161,401,121
149,30,641,443,266,617,183,867,472,245
858,752,422,211,895,896,278,295,597,426
510,28,138,654,578,799,934,719,262,276
986,627,192,65,447,964,809,890,502,936
161,110,74,190,100,156,667,12,417,478
538,719,817,694,587,15,498,457,494,84
770,187,729,148,465,411,730,10,897,191
81,48,946,293,76,991,664,20,313,182
644,106,651,80,236,649,633,137,580,44
400,182,940,419,349,873,676,585,911,292
826,502,610,300,122,400,396,49,663,652
981,604,42,506,365,937,317,115,516,649
466,940,333,191,401,179,658,550,831,220
174,855,522,764,859,596,233,219,353,555
158,229,947,925,657,276,113,393,654,676
329,526,510,100,96,612,488,73,587,876
500,73,438,589,924,569,223,344,592,805
555,312,794,33,57,647,205,812,832,845
217,36,791,758,104,208,760,985,32,452
394,732,652,360,278,322,844,568,602,236
372,88,110,316,10,493,464,470,969,481
121,400,318,825,379,586,385,538,97,827
986,446,415,106,833,372,961,482,766,524
405,935,64,914,679,418,932,373,6,976
853,199,713,651,527,52,695,541,363,720
304,83,966,179,511,931,656,825,173,56
356,108,77,284,134,701,105,615,14,645
587,477,966,475,789,838,469,368,158,475
428,458,836,530,307,779,766,124,521,6
954,138,848,226,834,150,810,558,857,191
103,214,543,703,321,988,685,124,296,561
434,930,525,565,859,739,664,784,730,739
867,791,93,971,572,358,621,572,905,452
852,144,493,591,483,112,143,260,478,110
769,979,340,96,592,970,401,986,973,42
954,895,67,837,197,676,773,705,247,535
277,921,565,919,252,870,919,770,256,354
306,992,112,893,843,575,132,980,33,902
736,53,443,324,831,750,585,191,206,936
849,461,160,654,525,695,519,281,243,475
344,662,406,228,20,53,711,918,624,838
225,732,907,47,910,665,957,341,509,655
206,510,254,189,686,211,688,849,76,748
500,25,791,601,716,750,664,435,287,69
62,539,372,60,129,825,331,341,299,530
967,726,751,847,877,666,652,435,865,588
334,489,44,61,154,318,492,792,942,999
952,516,984,975,631,714,145,828,464,232
389,334,923,886,33,566,396,812,67,640
270,424,409,162,372,475,483,477,988,243
603,571,31,403,789,62,813,957,487,867
886,939,519,592,741,933,364,688,729,931
982,861,443,91,765,81,589,707,852,931
451,28,484,477,920,864,585,625,648,523
716,258,294,565,510,15,592,187,124,247
35,589,838,303,668,393,196,486,339,64
516,553,927,718,952,566,138,780,172,882
720,826,667,844,834,806,864,206,182,892
165,687,64,502,962,175,489,948,381,382
145,518,305,458,432,812,402,617,880,421
11,458,271,634,242,74,1,402,905,815
524,621,624,600,287,25,562,779,506,614
316,861,402,299,627,26,728,645,689,468
921,243,884,411,372,812,577,146,319,885
85,97,697,223,590,360,592,221,957,721
110,550,224,31,446,29,321,389,168,53
678,907,70,649,526,185,572,570,145,109
194,792,485,157,5,772,145,573,614,441
945,277,451,41,991,577,884,73,179,382
19,646,5,817,430,397,531,737,870,222
52,230,447,845,845,809,668,852,351,315
677,988,299,91,312,62,531,610,761,550
585,307,297,255,129,177,558,668,686,397
226,189,369,702,913,172,511,635,814,254
509,739,565,582,34,99,127,351,351,627
909,49,639,59,329,31,94,878,637,615
286,875,545,698,765,381,340,793,931,468
139,965,307,287,579,165,950,744,833,493
776,919,104,58,714,649,586,109,368,830
976,973,93,904,459,31,525,651,254,158
336,483,541,534,81,905,334,630,645,359
474,700,727,304,361,371,878,381,122,39
676,272,700,281,150,99,400,6,371,64
399,984,466,383,500,151,726,977,593,632
966,847,641,550,551,246,566,256,372,458
750,931,740,43,189,720,348,690,886,286
171,902,919,561,243,935,479,846,732,229
311,353,551,761,168,274,621,264,471,99
23,97,849,809,531,484,370,143,610,479
225,935,515,954,878,474,652,204,76,306
741,108,703,358,371,253,148,920,336,127
56,176,960,710,726,691,641,870,451,682
431,927,249,513,825,397,208,363,138,376
28,45,407,159,347,558,330,210,810,285
540,617,119,951,348,973,324,571,100,496
17,914,906,111,291,421,48,461,849,425
505,97,434,268,837,414,955,124,97,208
158,987,506,810,625,631,833,402,364,144
148,455,648,48,485,231,986,875,339,794
968,154,17,226,493,580,217,83,662,933
457,694,581,519,49,422,401,434,715,826
703,97,616,170,752,676,286,778,289,711
663,532,663,243,774,544,573,664,566,897
112,259,611,307,54,211,694,103,12,975
405,181,0,657,711,664,620,395,301,963
697,304,797,976,377,149,196,218,253,75
488,966,418,30,717,935,437,622,822,721
813,321,672,641,45,890,791,385,135,375
827,267,900,558,686,894,381,829,974,291
752,984,728,96,306,142,64,201,576,60
926,932,498,50,169,760,562,595,661,642
171,151,635,467,343,61,842,325,593,518
900,205,687,944,207,413,352,713,307,673
849,846,751,233,707,665,960,906,195,593
665,252,967,415,947,109,106,18,586,558
813,879,247,485,976,302,498,124,794,973
299,981,385,782,807,217,84,357,104,83
944,493,363,453,847,757,548,464,205,240
272,695,848,712,578,586,117,111,989,647
59,827,179,815,815,362,603,498,264,514
873,994,665,657,898,618,599,767,551,397
372,310,29,223,321,204,277,36,669,267
278,606,517,849,166,254,95,134,711,105
247,457,919,313,51,113,813,716,210,942
67,208,525,859,830,370,946,20,166,297
725,0,268,837,903,471,692,970,162,441
992,148,377,436,442,695,565,890,743,209
515,626,631,99,814,214,960,210,431,923
981,643,1,337,24,227,733,358,617,560
158,874,957,934,318,96,370,181,207,542
965,498,156,319,255,398,519,330,266,14
498,177,402,880,327,492,628,654,663,401
492,707,86,970,538,722,900,899,704,339
113,133,251,925,509,992,127,764,893,168
41,326,446,702,525,30,367,9,25,975
66,874,883,250,224,766,730,75,113,454
864,548,764,77,477,599,837,248,408,271
116,985,294,32,743,856,587,156,606,52
770,876,52,294,686,898,804,352,289,347
609,934,707,554,396,498,595,22,59,146
270,309,650,487,330,246,66,246,659,860
424,10,730,866,736,151,396,17,858,934
462,555,409,164,418,474,960,357,423,660
939,942,285,300,409,833,917,908,318,181
929,544,407,232,849,764,446,887,951,680
94,97,800,18,142,360,6,776,882,648
291,848,600,456,982,811,750,637,270,86
524,275,730,108,761,510,513,105,776,252
887,618,613,100,819,925,793,420,7,301
545,336,333,483,678,877,747,360,490,859
878,49,550,296,291,17,471,650,860,154
607,207,473,130,316,657,465,481,326,688
418,627,18,28,266,885,741,272,448,543
365,507,912,915,665,108,243,831,731,359
790,381,617,725,279,778,61,78,782,512
934,425,168,303,539,208,858,503,833,263
171,320,732,959,58,400,931,17,59,366
903,471,248,192,592,320,219,850,484,158
635,910,421,868,329,212,969,975,653,851
747,313,510,244,113,996,928,362,510,633
191,542,227,632,683,680,217,682,853,707
663,965,785,354,140,273,323,37,95,902
167,483,165,355,431,613,378,723,567,258
239,916,98,114,787,599,406,908,973,411
187,418,805,910,150,669,787,792,34,115
131,170,28,816,235,236,668,467,266,198
609,598,237,582,310,853,601,1,720,69
927,544,334,54,30,828,319,167,847,104
317,287,723,926,526,477,788,238,249,753
464,735,3,192,802,630,6,428,907,383
686,123,74,367,863,312,597,379,389,7
21,194,800,42,993,178,884,320,188,811
885,140,500,405,83,116,689,184,441,163
614,788,526,622,533,881,569,986,714,943
815,641,89,182,18,848,507,779,248,69
817,362,261,997,892,902,425,826,413,985
154,423,128,768,385,464,898,700,43,317
368,924,536,68,507,420,437,81,929,278
621,494,730,685,172,634,643,508,356,257
855,305,80,282,327,495,702,517,577,791
604,845,978,939,770,385,626,515,168,802
788,502,512,154,629,631,448,522,611,512
944,132,698,781,386,820,752,19,584,492
969,841,764,116,142,74,439,784,147,446
878,466,17,663,935,426,936,488,555,420
478,965,257,596,817,816,563,487,788,515
521,899,504,579,925,632,801,705,735,93
748,107,273,468,617,25,933,908,439,331
73,836,453,994,605,467,124,327,162,824
142,869,411,913,22,257,753,733,172,823
816,351,273,185,981,208,423,183,8,305
841,23,991,496,488,689,184,724,859,67
800,727,169,495,734,944,446,999,219,547
653,642,62,596,879,811,481,590,532,360
650,463,228,626,105,794,800,315,839,959
811,227,101,111,199,780,341,933,109,504
931,68,375,708,53,552,800,991,598,262
798,634,428,162,815,354,862,909,396,884
112,350,642,10,157,773,814,868,745,180
606,750,358,469,296,609,682,1,8,40
22,356,93,287,954,433,98,817,932,305
256,26,313,609,492,934,839,328,479,971
808,614,900,105,885,843,864,276,648,589
403,441,511,81,557,879,56,412,104,556
493,552,338,145,659,293,979,148,897,528
633,587,698,291,650,612,437,881,238,485
815,227,868,564,972,150,661,972,222,578
897,406,245,576,881,786,257,456,656,512
363,851,786,219,266,257,923,781,770,561
235,963,5,119,458,695,99,333,992,677
161,191,773,406,751,172,77,610,159,37
689,508,498,416,347,212,693,61,45,588
114,562,12,746,628,996,6,873,198,96
4,791,290,529,281,682,225,950,257,370
532,678,2,892,665,828,578,562,954,900
442,16,512,467,183,189,744,375,876,953
201,929,23,877,905,914,504,768,453,328
727,320,369,795,881,73,859,593,394,260
539,248,327,192,550,687,476,899,195,501
109,176,774,481,393,960,305,462,249,190
930,764,892,502,491,680,461,677,631,151
686,310,547,139,962,56,774,2,627,955
379,536,145,467,680,164,826,215,508,138
918,854,214,703,938,329,619,824,473,938
588,856,333,557,673,905,395,463,477,890
463,406,719,925,555,483,25,628,461,28
253,11,102,460,195,967,847,878,623,462
874,376,814,607,727,742,794,353,421,15
849,560,738,480,870,573,610,482,944,328
137,543,782,270,17,726,485,640,988,860
814,660,898,64,623,302,220,434,637,505
127,282,561,607,136,253,722,193,153,780
359,665,74,350,236,412,125,459,237,490
419,556,478,811,775,60,225,183,535,248
184,906,342,373,447,598,406,790,287,876
557,551,368,254,615,710,736,391,852,957
668,952,855,638,538,109,27,146,36,633
512,254,11,127,483,411,289,487,763,785
303,376,978,950,864,884,957,183,824,137
865,775,892,170,752,912,129,851,164,541
66,743,178,177,971,532,336,841,872,916
498,587,295,733,465,673,831,892,76,344
